Time, C12_R_ch1, C12_R_ch2, P12_W_ch1, P12_W_ch2
56.9057, 90, 99, 90, 99
56.9821, 90, 99, 25, 99
57.0971, 25, 99, 25, 99
57.2267, 25, 99, 25, 99
57.2593, 25, 44, 25, 99
57.3046, 25, 44, 25, 44
57.6479, 25, 44, 25, 44
57.7647, 25, 44, 5, 44
57.8405, 5, 44, 5, 44
57.9187, 5, 44, 5, 44
57.9527, 5, 39, 5, 44
58.0115, 5, 39, 5, 39
58.4305, 5, 39, 5, 39
58.7435, 5, 39, 86, 39
58.9071, 86, 39, 86, 39
59.0570, 86, 39, 86, 39
59.0969, 86, 69, 86, 39
59.2128, 86, 69, 86, 69
59.7000, 86, 69, 86, 69
59.8472, 86, 69, 42, 69
59.9630, 42, 69, 42, 69
60.0351, 42, 69, 42, 69
60.0648, 42, 64, 42, 69
60.1182, 42, 64, 42, 64
60.6214, 42, 64, 42, 64
60.6569, 7, 64, 42, 64
60.7124, 7, 64, 7, 64
60.7319, 7, 64, 7, 64
60.8029, 7, 64, 7, 55
60.8320, 7, 55, 7, 55
61.1674, 7, 55, 7, 55
61.3644, 7, 55, 48, 55
61.5158, 48, 55, 48, 55
61.6920, 48, 55, 48, 55
61.7313, 48, 11, 48, 55
61.8096, 48, 11, 48, 11
61.9756, 48, 11, 48, 11
62.4154, 48, 11, 28, 11
62.5145, 28, 11, 28, 11
62.6171, 28, 11, 28, 11
62.6452, 28, 99, 28, 11
62.6812, 28, 99, 28, 99
63.0014, 28, 99, 28, 99
63.0941, 28, 99, 46, 99
63.1032, 46, 99, 46, 99
63.1963, 46, 99, 46, 99
63.2330, 46, 99, 46, 68
63.2480, 46, 68, 46, 68
63.5824, 46, 68, 46, 68
63.6945, 46, 68, 22, 68
63.8005, 22, 68, 22, 68
63.8627, 22, 68, 22, 68
63.8913, 22, 11, 22, 68
64.0035, 22, 11, 22, 11
64.0984, 22, 11, 22, 11
64.2269, 22, 11, 5, 11
64.3344, 5, 11, 5, 11
64.3945, 5, 11, 5, 11
64.4234, 5, 1, 5, 11
64.5350, 5, 1, 5, 1
64.6577, 5, 1, 5, 1
64.8083, 5, 1, 30, 1
64.8724, 30, 1, 30, 1
64.9275, 30, 1, 30, 1
64.9570, 30, 78, 30, 1
64.9908, 30, 78, 30, 78
65.3541, 30, 78, 30, 78
65.3779, 20, 78, 30, 78
65.4930, 20, 78, 30, 78
65.4979, 20, 78, 20, 78
65.5989, 20, 78, 20, 36
65.6328, 20, 36, 20, 36
65.9538, 20, 36, 20, 36
66.0404, 20, 36, 26, 36
66.1565, 26, 36, 26, 36
66.2415, 26, 36, 26, 36
66.2719, 26, 22, 26, 36
66.3155, 26, 22, 26, 22
66.6881, 26, 22, 26, 22
66.7916, 26, 22, 8, 22
66.9116, 8, 22, 8, 22
66.9947, 8, 22, 8, 22
67.0412, 8, 16, 8, 22
67.1871, 8, 16, 8, 16
67.3157, 8, 16, 8, 16
67.5356, 8, 16, 58, 16
67.6959, 58, 16, 58, 16
67.8003, 58, 16, 58, 16
67.8401, 58, 24, 58, 16
68.3585, 58, 24, 58, 24
68.6316, 58, 24, 58, 24
68.7678, 58, 24, 62, 24
68.8536, 62, 24, 62, 24
68.9266, 62, 24, 62, 24
68.9622, 62, 24, 62, 24
69.0847, 62, 24, 62, 24
69.2663, 62, 24, 62, 24
69.4016, 62, 24, 36, 24
69.4739, 36, 24, 36, 24
69.5953, 36, 24, 36, 24
69.6483, 36, 24, 36, 52
69.6730, 36, 52, 36, 52
69.9392, 36, 52, 36, 52
