Time, C12_R_ch1, C12_R_ch2, C122_R_ch12, C122_R_ch22, P12_W_ch1, P12_W_ch2, P122_W_ch12, P122_W_ch22
15.8430, 78, 86, 70, 12, 78, 67, 70, 34
15.8732, 78, 86, 70, 34, 78, 67, 70, 34
15.9227, 78, 67, 70, 34, 78, 67, 70, 34
16.2929, 78, 67, 70, 34, 78, 67, 70, 34
16.2990, 78, 67, 70, 34, 78, 67, 70, 34
16.5117, 78, 67, 70, 34, 78, 67, 17, 34
16.6220, 78, 67, 70, 34, 52, 67, 17, 34
16.6333, 52, 67, 70, 34, 52, 67, 17, 34
16.6982, 52, 67, 17, 34, 52, 67, 17, 34
16.8468, 52, 67, 17, 34, 52, 67, 17, 34
16.8819, 52, 67, 17, 92, 52, 67, 17, 34
16.8879, 52, 67, 17, 92, 52, 67, 17, 34
16.9000, 52, 56, 17, 92, 52, 67, 17, 34
16.9550, 52, 56, 17, 92, 52, 56, 17, 34
17.0525, 52, 56, 17, 92, 52, 56, 17, 92
17.3457, 52, 56, 17, 92, 52, 56, 17, 92
17.3505, 52, 56, 17, 92, 52, 56, 17, 92
17.4166, 52, 56, 17, 92, 52, 56, 41, 92
17.8319, 52, 56, 41, 92, 52, 56, 41, 92
17.8460, 52, 56, 41, 92, 89, 56, 41, 92
17.9663, 52, 56, 41, 92, 89, 56, 41, 92
17.9745, 89, 56, 41, 92, 89, 56, 41, 92
17.9989, 89, 56, 41, 65, 89, 56, 41, 92
18.1067, 89, 56, 41, 65, 89, 56, 41, 65
18.1614, 89, 56, 41, 65, 89, 56, 41, 65
18.1698, 89, 44, 41, 65, 89, 56, 41, 65
18.2417, 89, 44, 41, 65, 89, 44, 41, 65
18.4818, 89, 44, 41, 65, 89, 44, 41, 65
18.5179, 89, 44, 41, 65, 89, 44, 41, 65
18.6235, 89, 44, 41, 65, 89, 44, 31, 65
18.7718, 89, 44, 31, 65, 89, 44, 31, 65
18.7979, 89, 44, 31, 65, 97, 44, 31, 65
18.8908, 89, 44, 31, 65, 97, 44, 31, 65
18.9113, 89, 44, 31, 17, 97, 44, 31, 65
18.9516, 89, 44, 31, 17, 97, 44, 31, 17
19.0196, 97, 44, 31, 17, 97, 44, 31, 17
19.1176, 97, 44, 31, 17, 97, 44, 31, 17
19.1401, 97, 71, 31, 17, 97, 44, 31, 17
19.1762, 97, 71, 31, 17, 97, 71, 31, 17
19.4273, 97, 71, 31, 17, 97, 71, 31, 17
19.5196, 97, 71, 31, 17, 97, 71, 31, 17
19.5810, 97, 71, 31, 17, 27, 71, 31, 17
19.7046, 27, 71, 31, 17, 27, 71, 31, 17
19.8953, 27, 71, 31, 17, 27, 71, 67, 17
19.9036, 27, 71, 31, 17, 27, 71, 67, 17
19.9127, 27, 56, 31, 17, 27, 71, 67, 17
19.9310, 27, 56, 67, 17, 27, 71, 67, 17
19.9952, 27, 56, 67, 17, 27, 71, 67, 17
20.0375, 27, 56, 67, 17, 27, 56, 67, 17
20.1269, 27, 56, 67, 17, 27, 56, 67, 97
20.1678, 27, 56, 67, 97, 27, 56, 67, 97
20.4357, 27, 56, 67, 97, 27, 56, 67, 97
20.5663, 27, 56, 67, 97, 27, 56, 67, 97
20.6593, 27, 56, 67, 97, 27, 56, 19, 97
20.6700, 27, 56, 67, 97, 6, 56, 19, 97
20.7635, 6, 56, 67, 97, 6, 56, 19, 97
20.8493, 6, 56, 19, 97, 6, 56, 19, 97
20.8572, 6, 56, 19, 97, 6, 56, 19, 97
20.8935, 6, 83, 19, 97, 6, 56, 19, 97
20.9327, 6, 83, 19, 97, 6, 83, 19, 97
21.0312, 6, 83, 19, 97, 6, 83, 19, 97
21.0561, 6, 83, 19, 24, 6, 83, 19, 97
21.1528, 6, 83, 19, 24, 6, 83, 19, 24
21.3268, 6, 83, 19, 24, 6, 83, 19, 24
21.5177, 6, 83, 19, 24, 6, 83, 19, 24
21.5401, 6, 83, 29, 24, 6, 83, 19, 24
21.6405, 6, 83, 29, 24, 6, 83, 19, 24
21.7613, 6, 83, 29, 24, 6, 83, 29, 24
21.7795, 6, 83, 29, 24, 19, 83, 29, 24
21.9017, 19, 83, 29, 24, 19, 83, 29, 24
21.9262, 19, 83, 29, 24, 19, 83, 29, 3
22.0716, 19, 83, 29, 3, 19, 83, 29, 3
22.0881, 19, 83, 29, 3, 19, 83, 29, 3
22.1140, 19, 70, 29, 3, 19, 83, 29, 3
22.2778, 19, 70, 29, 3, 19, 70, 29, 3
22.4644, 19, 70, 29, 3, 19, 70, 29, 3
22.5594, 19, 70, 29, 3, 19, 70, 29, 3
22.6678, 19, 70, 29, 3, 40, 70, 29, 3
22.6704, 19, 70, 29, 3, 40, 70, 49, 3
22.7530, 19, 70, 49, 3, 40, 70, 49, 3
22.7671, 40, 70, 49, 3, 40, 70, 49, 3
22.8246, 40, 70, 49, 3, 40, 70, 49, 3
22.8499, 40, 96, 49, 3, 40, 70, 49, 3
22.8589, 40, 96, 49, 3, 40, 70, 49, 3
22.9125, 40, 96, 49, 23, 40, 70, 49, 3
22.9640, 40, 96, 49, 23, 40, 70, 49, 23
23.1395, 40, 96, 49, 23, 40, 96, 49, 23
23.3518, 40, 96, 49, 23, 40, 96, 49, 23
23.4879, 40, 96, 49, 23, 40, 96, 49, 23
23.5369, 40, 96, 49, 23, 51, 96, 49, 23
23.5840, 51, 96, 49, 23, 51, 96, 49, 23
23.7377, 51, 96, 49, 23, 51, 96, 55, 23
23.7460, 51, 96, 49, 23, 51, 96, 55, 23
23.7577, 51, 21, 49, 23, 51, 96, 55, 23
23.8467, 51, 21, 49, 23, 51, 21, 55, 23
23.8588, 51, 21, 55, 23, 51, 21, 55, 23
24.0339, 51, 21, 55, 23, 51, 21, 55, 23
24.0578, 51, 21, 55, 79, 51, 21, 55, 23
24.1137, 51, 21, 55, 79, 51, 21, 55, 79
24.2547, 51, 21, 55, 79, 51, 21, 55, 79
24.4042, 51, 21, 55, 79, 51, 21, 55, 79
24.5040, 51, 21, 55, 79, 41, 21, 55, 79
24.5684, 41, 21, 55, 79, 41, 21, 55, 79
24.7417, 41, 21, 55, 79, 41, 21, 55, 79
24.7811, 41, 21, 55, 79, 41, 21, 93, 79
24.9042, 41, 21, 55, 79, 41, 50, 93, 79
24.9650, 41, 21, 93, 79, 41, 50, 93, 79
24.9702, 41, 50, 93, 79, 41, 50, 93, 79
25.1178, 41, 50, 93, 79, 41, 50, 93, 79
25.1396, 41, 50, 93, 0, 41, 50, 93, 79
25.1943, 41, 50, 93, 0, 41, 50, 93, 0
25.4699, 41, 50, 93, 0, 41, 50, 93, 0
25.5262, 41, 50, 93, 0, 41, 50, 93, 0
25.5454, 41, 50, 93, 0, 14, 50, 93, 0
25.5613, 14, 50, 93, 0, 14, 50, 93, 0
25.9934, 14, 50, 93, 0, 14, 50, 56, 0
26.0452, 14, 50, 93, 0, 14, 50, 56, 0
26.0767, 14, 87, 93, 0, 14, 50, 56, 0
26.1535, 14, 87, 93, 0, 14, 87, 56, 0
26.1772, 14, 87, 56, 0, 14, 87, 56, 0
26.2789, 14, 87, 56, 0, 14, 87, 56, 0
26.3078, 14, 87, 56, 43, 14, 87, 56, 0
26.3468, 14, 87, 56, 43, 14, 87, 56, 43
26.6746, 14, 87, 56, 43, 14, 87, 56, 43
26.7573, 14, 87, 56, 43, 14, 87, 56, 43
26.7987, 14, 87, 56, 43, 14, 87, 59, 43
26.8238, 14, 87, 56, 43, 32, 87, 59, 43
26.8424, 14, 87, 59, 43, 32, 87, 59, 43
26.9465, 14, 87, 59, 43, 32, 87, 59, 43
27.0296, 32, 87, 59, 43, 32, 87, 59, 43
27.0431, 32, 87, 59, 36, 32, 87, 59, 43
27.0471, 32, 87, 59, 36, 32, 87, 59, 36
27.1846, 32, 87, 59, 36, 32, 87, 59, 36
27.2045, 32, 51, 59, 36, 32, 87, 59, 36
27.3025, 32, 51, 59, 36, 32, 51, 59, 36
27.5127, 32, 51, 59, 36, 32, 51, 59, 36
27.6388, 32, 51, 59, 36, 32, 51, 59, 36
27.6476, 7, 51, 59, 36, 32, 51, 59, 36
27.7110, 7, 51, 59, 36, 32, 51, 59, 36
27.7433, 7, 51, 59, 36, 7, 51, 59, 36
27.8279, 7, 51, 59, 36, 7, 51, 74, 36
27.8432, 7, 51, 59, 36, 7, 21, 74, 36
27.8640, 7, 51, 74, 36, 7, 21, 74, 36
27.9156, 7, 51, 74, 36, 7, 21, 74, 36
27.9796, 7, 21, 74, 36, 7, 21, 74, 36
28.0054, 7, 21, 74, 36, 7, 21, 74, 58
28.0795, 7, 21, 74, 58, 7, 21, 74, 58
28.2924, 7, 21, 74, 58, 7, 21, 74, 58
28.4634, 7, 21, 74, 58, 7, 21, 74, 58
28.5096, 7, 21, 74, 58, 35, 21, 74, 58
28.5560, 35, 21, 74, 58, 35, 21, 74, 58
28.7040, 35, 21, 74, 58, 35, 21, 93, 58
28.7708, 35, 21, 74, 58, 35, 21, 93, 58
28.8051, 35, 21, 74, 58, 35, 18, 93, 58
28.8179, 35, 21, 93, 58, 35, 18, 93, 58
28.8547, 35, 18, 93, 58, 35, 18, 93, 58
28.8957, 35, 18, 93, 58, 35, 18, 93, 58
28.9307, 35, 18, 93, 28, 35, 18, 93, 58
29.0894, 35, 18, 93, 28, 35, 18, 93, 28
29.3233, 35, 18, 93, 28, 35, 18, 93, 28
29.4439, 35, 18, 93, 28, 35, 18, 93, 28
29.5881, 35, 18, 93, 28, 35, 18, 4, 28
29.8543, 35, 18, 4, 28, 35, 18, 4, 28
29.8726, 35, 18, 4, 28, 29, 18, 4, 28
29.9737, 29, 18, 4, 28, 29, 18, 4, 28
30.0213, 29, 18, 4, 28, 29, 18, 4, 28
30.0305, 29, 18, 4, 43, 29, 18, 4, 28
30.0698, 29, 18, 4, 43, 29, 18, 4, 43
30.1156, 29, 18, 4, 43, 29, 18, 4, 43
30.1425, 29, 76, 4, 43, 29, 18, 4, 43
30.1614, 29, 76, 4, 43, 29, 76, 4, 43
30.4490, 29, 76, 4, 43, 29, 76, 4, 43
30.4495, 29, 76, 4, 43, 29, 76, 4, 43
